PC, FCI
0.20931336558084584,0.07970700485581438
0.2518663999396738,0.11388758641985011
0.228848522929316,0.061823257722176006
0.2565243249528567,0.10582039479089227
0.19841993103218916,0.0924638348986696
0.21775933298688605,0.12059627208943577
0.17808492205053422,0.0735430915776956
0.15081956839615326,0.039797069940103263
0.2894970851047971,0.1296228461763479
0.2268537330457986,0.05953267975625699
0.4092648702843606,0.18572043263118776
0.3269218798630564,0.09821777792792286
0.3514771850769293,0.09763035318590875
0.3492789249129829,0.13390562112784335
0.22161694098309828,0.09802830913942023
0.26125482028259805,0.04835518748562226
0.3399103468547913,0.1594420394420394
0.2642952826776356,0.03966336937351431
0.33153662046205906,0.14524903460037783
0.31517007583880946,0.15900175086502977
