"Average","Stdev"
0.431249306249306,0.0728035406208187
0.510336469086469,0.141530956245806
0.488825757575758,0.181754077005384
0.514233266733267,0.14320994436396
0.455913530913531,0.162653253219658
0.559371461871462,0.137489290886795
0.504448051948052,0.113647754639615
0.524963647463647,0.128355446073827
0.583447385947386,0.187570769330508
0.515073815073815,0.190438591520652
0.463475968475969,0.186343513819365
0.529073181720241,0.142585504717322
0.405791985791986,0.128561988766917
0.347463161838162,0.105365966329111
0.508704906204906,0.152587704671386
0.569240481740482,0.220557450771229
0.509307359307359,0.162353456528114
0.536787101787102,0.200103341802751
0.501905316905317,0.148076310647821
0.533121045621046,0.14491480784027
